SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1986221N17163,80,0
1986225N17134,110,0
1986228N19120,90,0
1986229N18130,40,0
1986252N06153,95,0
1986259N07170,120,0
1986270N05178,100,0
1986275N10134,45,0
1986276N07177,80,0
1986283N10179,110,0
1986287N09141,55,0
1986302N05178,60,0
1986309N07162,55,0
1986316N06146,100,0
1986330N05173,135,0
1986333N04179,40,0
1986343N05176,95,0
1986353N03178,90,0
1987007N06162,95,0
1987093N05155,40,0
1987168N17118,35,0
1987176N10150,75,0
1987188N10151,130,0
1987196N09146,65,0
1987200N04191,125,0
1987202N09144,65,0
1987219N08134,140,0
1987219N08155,85,0
1987231N10159,130,0
1987232N07173,35,0
1987244N11177,140,0
1987245N15133,105,0
1987247N09150,125,0
1987264N10190,100,0
1987266N16148,110,0
1987267N17163,30,0
1987270N15160,40,0
1987282N12137,95,0
1987288N13168,140,0
1987311N10148,45,0
1987320N03171,145,0
1987325N13126,45,0
1987343N05154,100,0
1988005N03174,115,0
1988150N19119,80,0
1988156N18128,30,0
1988170N05141,70,0
1988177N07137,45,0
1988193N09149,115,0
1988208N27135,45,0
1988218N21128,45,0
1988219N27175,45,0
1988226N22173,115,0
1988237N23154,35,0
1988237N30143,75,0
1988242N12215,110,0
1988246N26133,45,0
1988249N18163,105,0
1988255N15132,45,0
1988255N21159,55,0
1988260N15157,55,0
1988263N15126,60,0
1988263N18115,45,0
1988274N12142,140,0
1988282N17153,90,0
1988290N08145,75,0
1988295N10138,125,0
1988306N15130,25,0
1988307N09131,65,0
1988308N09140,125,0
1988356N05142,55,0
1989010N16212,55,0
1989103N07154,140,0
1989134N07138,75,0
1989142N11114,75,0
1989153N04144,100,0
1989169N16142,35,0
1989187N15132,60,0
1989190N20160,140,0
1989194N13149,55,0
1989199N05139,55,0
1989201N11145,95,0
1989208N20133,30,0
1989209N22130,50,0
1989211N24153,80,0
1989216N06159,75,0
1989221N10149,75,0
1989227N16145,35,0
1989228N29127,30,0
1989235N22146,30,0
1989235N26122,50,0
1989246N16159,125,0
1989250N17148,50,0
1989254N17145,50,0
1989259N20126,65,0
1989271N12142,130,0
1989271N14168,80,0
1989272N18120,80,0
1989279N07151,70,0
1989286N14137,140,0
1989291N05158,95,0
1989305N07105,140,0
1989314N10152,90,0
1989324N17174,140,0
1989335N05162,30,0
1989354N05155,125,0
1990008N01172,75,0
1990117N04152,35,0
1990129N05138,90,0
1990163N08133,55,0
1990164N14112,30,0
1990166N06141,90,0
1990171N11148,115,0
1990180N09159,45,0
1990202N13130,55,0
1990205N16141,115,0
1990208N18132,95,0
1990216N29125,65,0
1990219N10214,55,0
1990221N07162,90,0
1990228N15141,100,0
1990232N13141,70,0
1990235N10152,90,0
1990245N16149,75,0
1990245N20123,45,0
1990250N13157,90,0
1990251N06171,145,0
1990261N12141,80,0
1990271N13153,90,0
1990272N11121,35,0
1990283N15129,35,0
1990287N13156,90,0
1990288N15118,40,0
1990309N08167,140,0
1990310N07152,150,0
1990312N12121,50,0
1990319N07197,140,0
1990347N05173,125,0
1991062N04156,60,0
1991077N03165,70,0
1991111N04145,45,0
1991124N05152,140,0
1991163N11128,105,0
1991187N06139,80,0
1991194N11147,125,0
1991196N06153,70,0
1991197N09248,65,0
1991200N05157,95,0
1991219N25165,35,0
1991220N10133,95,0
1991220N20160,85,0
1991223N19162,25,0
1991226N18159,65,0
1991233N22147,30,0
1991239N20133,40,0
1991243N05172,115,0
1991244N19126,55,0
1991251N12138,90,0
1991256N13171,130,0
1991256N14148,50,0
1991257N16130,110,0
1991274N08164,125,0
1991274N14149,115,0
1991289N06156,145,0
1991300N06149,25,0
1991301N08173,130,0
1991304N08140,45,0
1991307N06177,55,0
1991317N09141,45,0
1991320N06171,150,0
1991329N04181,80,0
1992003N03176,70,0
1992027N05206,100,0
1992172N07144,120,0
1992174N13126,80,0
1992176N06145,40,0
1992188N07156,75,0
1992194N07140,55,0
1992198N13135,65,0
1992206N25161,45,0
1992211N39164,25,0
1992212N05154,115,0
