SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
2019255N09162,35,1000
1988227N24123,35,1002
2002335N05166,90,1000
2012296N06135,85,1004
2019236N08143,40,998
1988237N30143,60,996
2020299N11144,120,1002
1982248N14133,85,996
1992236N07159,100,996
2019176N18128,40,998
2001170N11138,65,996
1978287N08166,80,994
2007135N08147,95,1002
2019288N16136,75,1002
1998281N11151,110,996
1980133N07149,105,996
1996128N07138,95,1002
1992216N06182,95,996
2004344N06178,40,1000
1991187N06139,65,996
1994189N16117,40,996
2020213N15131,70,1002
2001291N05158,100,998
1978240N20130,40,996
1989305N07105,65,998
2006174N08135,40,1000
1978105N04149,80,996
2010263N15149,85,1002
1977287N10145,55,990
1985260N13115,45,998
1995240N24151,65,1002
1980282N19162,35,998
1979243N19154,80,994
1996282N11162,60,996
2002323N09155,85,996
2021276N07131,35,998
2012141N11148,60,1002
1977330N07169,110,1000
2024246N22147,35,1004
1988274N12142,100,996
2020222N15117,50,1000
2011257N19154,70,1004
1992172N07144,90,1000
1992286N12115,65,998
1992279N08175,40,994
1996232N21170,40,1000
1993275N04159,35,998
1994251N10180,110,998
1991274N08164,95,998
2015183N13130,50,998
1982169N09149,70,1000
1993270N07153,100,998
2014271N10160,95,998
1977082N03165,50,1004
1989271N12142,95,1000
2007274N18131,105,998
2001238N18162,45,996
1987343N05154,75,1000
2004177N12154,80,996
2018165N22117,45,994
1989271N14168,80,998
2007188N04148,95,994
2005013N05153,50,1000
1988193N09149,90,1000
1989201N11145,85,998
2019290N08169,100,1000
2011253N20145,85,998
1987288N13168,105,1000
2000209N06182,35,1000
2013221N11244,30,1010
1990251N06171,120,998
1993211N07161,85,1000
2019195N13136,45,994
2017312N10134,40,1002
1986209N13139,55,992
1993271N14134,65,996
1992289N08135,55,998
1980236N15144,95,994
1992242N13166,85,998
1996058N06137,35,1000
1994287N14156,80,1000
2002155N20112,60,998
1983282N09155,40,1000
2003240N20139,80,998
2005282N22138,100,1006
2008104N08128,80,998
2003158N08156,80,1000
2013282N14132,75,998
1998267N13134,65,998
2019050N05163,105,1000
2003247N10153,105,994
1982220N08154,80,1000
2010191N12138,70,1000
1982229N09154,100,990
1979273N11145,45,992
2013272N26152,40,1000
2009325N06148,115,1000
1978320N04155,105,996
